1 10 10 100
0 0 1 0 0
0 1 3 0 0
0 2 1 0 0
0 3 3 0 0
0 4 1 0 0
0 5 1 0 0
0 6 2 0 0
0 7 2 0 0
0 8 2 0 0
0 9 2 0 0
1 0 2 0 0
1 1 2 0 0
1 2 2 0 0
1 3 1 0 0
1 4 3 0 0
1 5 1 0 0
1 6 3 0 0
1 7 2 0 0
1 8 2 0 0
1 9 3 0 0
2 0 3 0 0
2 1 2 0 0
2 2 3 0 0
2 3 1 0 0
2 4 1 3 0
2 5 2 0 0
2 6 2 0 0
2 7 1 0 0
2 8 3 0 0
2 9 1 0 0
3 0 1 0 0
3 1 1 0 0
3 2 2 0 0
3 3 2 0 0
3 4 1 0 0
3 5 1 0 0
3 6 1 0 0
3 7 1 0 0
3 8 3 0 0
3 9 1 0 0
4 0 2 0 0
4 1 3 0 0
4 2 2 0 0
4 3 2 0 0
4 4 3 0 0
4 5 3 0 0
4 6 3 0 0
4 7 1 4 0
4 8 2 0 0
4 9 3 0 0
5 0 1 0 0
5 1 1 0 0
5 2 1 0 0
5 3 2 0 0
5 4 3 0 0
5 5 3 0 0
5 6 1 0 0
5 7 2 0 0
5 8 1 0 0
5 9 3 0 0
6 0 1 0 0
6 1 1 0 0
6 2 2 0 0
6 3 2 0 0
6 4 2 0 0
6 5 3 0 0
6 6 2 0 0
6 7 3 0 0
6 8 2 0 0
6 9 2 0 0
7 0 3 0 0
7 1 1 0 0
7 2 2 0 0
7 3 1 0 0
7 4 3 0 0
7 5 2 0 0
7 6 2 2 0
7 7 1 0 0
7 8 3 0 0
7 9 3 0 0
8 0 2 0 0
8 1 1 0 0
8 2 3 0 0
8 3 1 1 0
8 4 2 0 0
8 5 1 0 0
8 6 2 0 0
8 7 3 0 0
8 8 2 0 0
8 9 1 0 0
9 0 2 0 0
9 1 2 0 0
9 2 1 0 0
9 3 2 0 0
9 4 1 0 0
9 5 1 0 0
9 6 3 0 0
9 7 1 0 0
9 8 1 0 0
9 9 3 0 0
30 10 1 0
30 10 1 0
